0ad a26-12
bcg729 1.1.1-1
bchoppr 1.12.6-1
bchunk 1.2.2-7
bcprov 1.73-1
beanshell 2.1.1-1
bear 3.1.3-8
bearssl 0.6-5
beatslash-lv2 1.0.6-3
beebeep 5.8.6-1
beep 1.4.12-1
bees 0.10-1
beets 1.6.0-6
bemenu 0.6.16-1
benchmark 1.8.3-1
benzene 20130630-2
bespokesynth 1.2.1-1
bettercap 2.32.0-2
bettercap-caplets v20210412.r372.2d58298-3
bfs 3.0.4-1
bftpd 6.1-3
biber 1:2.19-2
biblesync 2.1.0-3
bibletime 3.0.3-2
bibtool 2.68-6
bibutils 7.2-2
bigloo 4.5a_1-4
bigsh0t 2.6-1
bin86 0.16.21-4
binaryen 1:116-1
bind 9.18.24-1
bingrep 0.11.0-1
binocle 0.3.2-1
binutils 2.42-2
binwalk 2.3.4-2
bird 2.14-1
birdfont 2.32.3-1
bison 3.8.2-6
bitcoin 26.0-1
bitsery 5.2.3-1
bitwarden 2024.2.0-1
bitwarden-cli 2024.2.0-1
black-hole-solver 1.12.0-1
blackbox 0.77-2
blackmagic 1.9.1-2
bladerf 2023.02-2
blanket 0.6.0-2
blaze 3.8.2-2
bleachbit 4.6.0-1
blender 17:4.0.2-14
bless 0.6.3-1
blinken 23.08.5-1
blinksocks 3.3.8-3
blisp 0.0.4-1
bliss 0.77-2
blobby2 1.1.1-1
blobwars 2.00-4
blobwars-data 2.00-3
blockdiag 3.0.0-3
blop 0.2.8-5
blop.lv2 1.0.4-2
blosc 1.21.5-1
blosc2 2.12.0-1
blueberry 1.4.8-1
bluedevil 1:5.27.10-3
bluefish 2.2.14-1
blueman 2.3.5-3
blueprint-compiler 0.10.0-1
bluez 5.72-2
bluez-qt5 5.115.0-1
bluez-tools 0.2.0-5
blur-effect 1.1.3-2
bmake 20240108-1
bmkdep 20140112-4
bmon 4.0-4
bmusb 0.7.8-1
bnfc 2.9.4.1-29
bob 2.8.1-1
bogofilter 1.2.5-8
boinc 7.24.1-1
boinctui 2.7.0-2
bolt 0.9.6-2
bomber 23.08.5-1
bonnie++ 2.00a-2
bonsai 1.1.2-1
bonzomatic 1.0.20230615-1
bookworm 1.1.2-3
boost 1.83.0-5
booster 0.11-1
booth 1.1.2-1
bore 0.5.0-1
borg 1.2.7-1
borgmatic 1.8.8-1
botan 3.3.0-1
botan2 2.19.3-1
bottom 0.9.6-1
bovo 23.08.5-1
bower 1.8.14-1
box2d 2.4.1-2
boxxy 0.8.4-1
bpftrace 0.19.1-1
bpython 0.24-3
bpytop 1.0.68-1
brasero 3.12.3+r24+gd01ba738-1
breeze 5.27.10-1
breeze-grub 5.27.10-1
breeze-gtk 5.27.10-1
breeze-icons 5.115.0-1
breeze-plymouth 5.27.10-1
breezy 3.3.5-1
brial 1.2.12-2
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brltty 6.6-5
broadcom-wl 6.30.223.271-529
broadcom-wl-dkms 6.30.223.271-36
brook 20221010-1
broot 1.33.1-1
brotli 1.1.0-1
browserify 17.0.0-1
browserpass 3.1.0-1
browserpass-chromium 3.8.0-1
browserpass-firefox 3.8.0-1
bsd-games 3.3-1
bsequencer 1.8.10-2
bshapr 0.13-2
bslizr 1.2.16-2
bspwm 0.9.10-3
bt747 2.2.1-2
btfs 2.24-3
btop 1.3.2-1
btrbk 0.32.6-1
btrfs-heatmap 9-2
btrfs-progs 6.7.1-1
bubblewrap 0.8.0-1
bucklespring 1.5.1-1
buckygen 1.1-2
buddy 2.4-6
budgie-backgrounds 3.0-1
budgie-control-center 1.4.0-1
budgie-desktop 10.9.1-1
budgie-desktop-view 1.3-2
budgie-extras 1.7.1-1
budgie-screensaver 5.1.0-2
budgie-session 0.9.1-1
buf 1.28.1-1
bugzilla 5.0.6-5
buho 3.0.2-1
build2 0.16.0-2
buildah 1.34.0-2
buildbot 3.11.0-1
buildkit 0.12.2-1
bullet 3.25-3
bully 1.1.12.g04185d7-2
bumblebee 3.2.1-21
bup 0.33.3-1
bupstash 0.12.0-3
busted 2.2.0-1
bustle 0.8.0-46
busybox 1.36.1-1
bwm-ng 0.6.3-2
byacc 20230521-1
byobu 5.133-3
byzanz 0.3.0.1-5
bzip2 1.0.8-5
bzip3 1.4.0-1
c-ares 1.26.0-1
c-xsc 2.5.4-2
c2hs 0.28.8-191
ca-certificates 20220905-1
cabal-fmt 0.1.5.1-112
cabal-install 3.4.1.0-175
cabal-plan 0.7.2.0-299
cabextract 1.11-1
cacti 1.2.26-1
cadaver 0.24-1
caddy 2.7.6-1
cadence 0.9.2-3
cage 0.1.5-2
cairo 1.18.0-1
cairo-dock 3.5.0-1
cairo-dock-plug-ins 3.5.0-1
cairo-perl 1.109-3
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
caja 1.26.3-1
caja-extensions 1.26.1-2
calc 2.15.0.5-1
calcurse 4.8.1-1
calendarsupport 23.08.5-1
calf 0.90.3-6
calibre 7.5.1-2
calindori 23.08.5-1
callaudiod 0.1.9-2
calligra 3.2.1-53
calligra-plan 3.3.0-4
cameractrls 0.5.15-2
camlp-streams 5.0.1-4
camlp5 8.02.01-2
cantarell-fonts 1:0.303.1-1
canto-curses 0.9.9-5
canto-daemon 0.9.8-4
cantor 23.08.5-1
caph 1.1-7
capitaine-cursors 4-2
capnet-assist 2.4.4-1
capnproto 1.0.1.1-1
caprine 2.59.3-1
caps 0.9.26-2
capstone 5.0.1-2
cardinal 23.10-1
cargo-about 0.6.1-1
cargo-asm 0.1.16-1
cargo-audit 0.20.0-1
cargo-auditable 0.6.2-1
cargo-binstall 1.6.3-1
cargo-bloat 0.11.1-2
cargo-bundle-licenses 1.3.0-2
cargo-c 0.9.30-1
cargo-clone 1.2.1-3
cargo-crev 0.25.6-1
cargo-cyclonedx 0.4.1-1
cargo-deb 2.0.6-1
cargo-deny 0.14.11-2
cargo-depgraph 1.6.0-2
cargo-dist 0.10.0-1
cargo-edit 0.12.2-1
cargo-expand 1.0.79-1
cargo-feature 0.7.0-1
cargo-flamegraph 0.6.5-1
cargo-fuzz 0.12.0-1
cargo-geiger 0.11.7-2
cargo-generate 0.19.0-2
cargo-generate-rpm 0.14.0-1
cargo-hack 0.6.20-1
cargo-insta 1.35.1-2
cargo-license 0.6.1-1
cargo-llvm-cov 0.6.5-1
cargo-machete 0.6.0-2
cargo-make 0.37.9-1
cargo-modules 0.13.6-1
cargo-msrv 0.15.1-4
cargo-ndk 3.4.0-2
cargo-nextest 0.9.67-1
cargo-outdated 0.14.0-1
cargo-pgrx 0.11.2-1
cargo-public-api 0.33.1-2
cargo-release 0.25.5-1
cargo-run-bin 1.7.2-2
cargo-semver-checks 0.29.0-1
cargo-show-asm 0.2.30-1
cargo-shuttle 0.39.0-1
cargo-sort 1.0.9-1
cargo-spellcheck 0.13.2-1
cargo-supply-chain 0.3.2-1
cargo-tarpaulin 0.27.3-1
cargo-tauri 1.5.10-1
cargo-udeps 0.1.45-1
cargo-update 13.3.0-2
cargo-watch 8.5.2-1
cargo-zigbuild 0.18.3-1
cargo2junit 0.1.13-1
caribou 0.4.21+75+g8ad9883-5
carla 2.5.8-1
cartridge-cli 2.12.5-1
cascadia-code 2111.01-1
castget 2.0.1-1
casync 2.r267.g0efa7ab-2
cataclysm-dda 0.G-2
catatonit 0.2.0-3
catch2 3.5.2-1
catch2-v2 2.13.10-2
catdoc 0.95-5
catfish 4.18.0-1
catimg 2.7.0-1
cauchy 0.9.0-3
cbatticon 1.6.13-1
cbindgen 0.26.0-1
cbor-tool 0.2.2.0-73
ccache 4.9.1-1
ccd2iso 0.3-11
ccfits 2.6-2
ccid 1.5.5-1
cclive 0.9.3-30
ccls 0.20230717-1
cctag 1.0.3-14
ccze 0.2.1-12
cddlib 1:0.94m-1
cdemu-client 3.2.5-1
cdemu-daemon 3.2.6-1
cdparanoia 10.2-9
cdrdao 1.2.5-2
cdrtools 3.02a09-5
celluloid 0.26-1
cerbere 2.5.1-2
cereal 1.3.2-1
ceres-solver 2.2.0-4
cern-vdt 0.4.4-1
certbot 2.8.0-1
certbot-apache 2.8.0-1
certbot-dns-cloudflare 2.8.0-1
certbot-dns-digitalocean 2.8.0-1
certbot-dns-dnsimple 2.8.0-1
certbot-dns-dnsmadeeasy 2.8.0-1
certbot-dns-gehirn 2.8.0-1
certbot-dns-google 2.8.0-1
certbot-dns-hetzner 2.0.0-2
certbot-dns-inwx 2.2.0-3
certbot-dns-linode 2.8.0-1
certbot-dns-luadns 2.8.0-1
certbot-dns-nsone 2.8.0-1
certbot-dns-ovh 2.8.0-1
certbot-dns-rfc2136 2.8.0-1
certbot-dns-route53 2.8.0-1
certbot-dns-sakuracloud 2.8.0-1
certbot-nginx 2.8.0-1
cervisia 23.08.5-1
cfitsio 1:4.3.1-1
